ABE
ABQ
ACK
ACY
ADQ
AGS
AKN
ALB
AMA
ANC
ANI
ATL
AUS
AVL
AVP
AZO
BDL
BET
BFL
BGM
BGR
BHM
BIL
BIS
BNA
BOI
BOS
BQN
BRO
BRW
BTR
BTV
BUF
BUR
BWI
BZN
CAE
CAK
CDV
CHA
CHS
CID
CLE
CLT
CMH
COS
CRP
CRW
CSG
CVG
DAB
DAL
DAY
DCA
DEN
DFW
DLG
DLH
DSM
DTW
DUT
EGE
ELM
ELP
ERI
EUG
EVV
EWR
FAI
FAR
FAT
FAY
FCA
FLL
FNT
FSD
FWA
GEG
GFK
GJT
GNV
GRB
GRR
GSO
GSP
GST
GTF
HLN
HNL
HOU
HPN
HRL
HSV
HTS
HVN
IAD
IAH
ICT
IDA
ILM
IND
ISP
ITH
JAC
JAN
JAX
JFK
JNU
KOA
KSM
KTN
LAN
LAS
LAX
LBB
LEX
LFT
LGA
LGB
LIT
LNK
LSE
MAF
MBS
MCI
MCO
MDT
MDW
MEM
MFE
MFR
MGM
MHT
MIA
MKE
MLB
MLI
MLU
MOB
MOT
MRY
MSN
MSO
MSP
MSY
MYR
OAJ
OAK
OGG
OKC
OMA
OME
ONT
ORD
ORF
OTZ
PBI
PDX
PFN
PHF
PHL
PHX
PIA
PIT
PNS
PSC
PSG
PSP
PVD
PWM
RAP
RDU
RIC
RNO
ROA
ROC
RST
RSW
SAN
SAT
SAV
SBA
SBN
SCC
SDF
SEA
SFO
SGF
SHV
SIT
SJC
SJU
SLC
SMF
SNA
SRQ
STL
STT
STX
SWF
SYR
TLH
TOL
TPA
TRI
TUL
TUS
TVC
TYS
VPS
WRG
YAK
